Edad;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050
48;125.531;130.244;135.520;141.438;146.443;149.414;157.790;170.773;178.218;184.817;190.247;195.593;200.772;205.537;209.526;213.436;217.872;223.299;228.918;233.995;238.020;240.843;242.884;244.194;244.273;243.274;242.392;243.707;247.642;253.588;259.951;265.255;267.371;267.527;266.903;268.044;271.558;277.663;283.902;287.372;288.846;290.807;295.734;304.878;318.099;334.792;340.456;346.036;338.965;330.828;325.378;318.286;310.135;301.221;292.522;284.756;275.518;268.712;261.728
49;121.389;124.986;129.702;134.974;140.887;145.895;148.874;157.235;170.189;177.625;184.220;189.659;195.005;200.189;204.984;208.989;212.930;217.353;222.772;228.465;233.576;237.460;240.337;242.420;243.860;244.410;244.138;243.465;244.736;247.710;253.153;259.403;264.681;266.797;266.961;266.346;267.496;271.011;277.112;283.346;286.817;288.298;290.265;295.190;304.324;317.527;334.196;339.857;345.435;338.388;330.275;324.844;317.773;309.644;300.755;292.078;284.331;275.116;268.327
50;117.587;120.809;124.412;129.125;134.394;140.303;145.312;148.298;156.643;169.564;176.992;183.589;189.022;194.370;199.577;204.385;208.417;212.347;216.766;222.251;227.971;232.953;236.882;239.797;241.997;243.864;245.123;244.997;244.292;244.691;247.213;252.554;258.777;264.047;266.167;266.342;265.740;266.896;270.414;276.510;282.739;286.212;287.699;289.672;294.594;303.718;316.901;333.543;339.202;344.779;337.756;329.670;324.257;317.209;309.105;300.240;291.586;283.862;274.670
51;114.187;116.974;120.202;123.807;128.520;133.786;139.689;144.695;147.685;156.013;168.903;176.328;182.909;188.341;193.709;198.925;203.752;207.772;211.699;216.181;221.689;227.292;232.310;236.270;239.291;241.884;244.439;245.818;245.661;244.147;244.130;246.565;251.884;258.095;263.359;265.485;265.671;265.083;266.245;269.764;275.854;282.078;285.554;287.048;289.025;293.946;303.058;316.220;332.833;338.490;344.065;337.068;329.009;323.617;316.593;308.515;299.677;291.049;283.346
52;110.708;113.540;116.337;119.568;123.176;127.887;133.148;139.043;144.043;147.039;155.349;168.210;175.613;182.185;187.632;193.007;198.237;203.051;207.067;211.052;215.558;220.957;226.590;231.631;235.684;239.060;242.342;244.961;246.310;245.405;243.513;243.425;245.847;251.156;257.358;262.620;264.752;264.950;264.375;265.545;269.066;275.151;281.369;284.846;286.346;288.330;293.249;302.348;315.487;332.070;337.724;343.296;336.326;328.296;322.927;315.929;307.878;299.067;290.467
53;107.212;110.025;112.867;115.668;118.902;122.512;127.218;132.471;138.354;143.347;146.349;154.644;167.455;174.844;181.425;186.876;192.262;197.478;202.286;206.355;210.365;214.772;220.199;225.850;230.974;235.346;239.403;242.707;245.294;245.947;244.695;242.746;242.654;245.078;250.381;256.576;261.834;263.973;264.181;263.620;264.799;268.322;274.400;280.611;284.090;285.597;287.586;292.503;301.588;314.703;331.254;336.904;342.473;335.533;327.533;322.188;315.216;307.193;298.412
54;103.539;106.488;109.309;112.152;114.956;118.192;121.803;126.501;131.740;137.610;142.593;145.604;153.866;166.635;174.024;180.603;186.065;191.437;196.646;201.499;205.593;209.516;213.954;219.399;225.120;230.525;235.567;239.593;242.868;244.820;245.158;243.853;241.912;241.830;244.258;249.556;255.743;260.997;263.142;263.363;262.817;264.005;267.528;273.599;279.804;283.285;284.800;286.794;291.707;300.778;313.868;330.383;336.030;341.596;334.686;326.718;321.398;314.454;306.462
55;99.686;102.773;105.725;108.545;111.389;114.195;117.432;121.037;125.721;130.946;136.798;141.776;144.781;153.020;165.758;173.137;179.718;185.167;190.531;195.779;200.652;204.668;208.623;213.082;218.590;224.559;230.625;235.593;239.587;242.282;243.945;244.232;242.935;241.013;240.948;243.379;248.671;254.851;260.099;262.252;262.486;261.955;263.152;266.676;272.740;278.938;282.419;283.941;285.942;290.851;299.906;312.968;329.447;335.089;340.651;333.773;325.840;320.545;313.632
56;96.461;98.880;101.965;104.914;107.730;110.574;113.379;116.610;120.206;124.874;130.082;135.915;140.882;143.895;152.120;164.813;172.187;178.747;184.188;189.587;194.850;199.648;203.693;207.669;212.188;217.912;224.538;230.479;235.415;238.883;241.315;242.928;243.220;241.943;240.044;239.995;242.432;247.718;253.889;259.132;261.290;261.539;261.024;262.231;265.755;271.811;278.000;281.482;283.013;285.019;289.925;298.962;311.995;328.433;334.071;339.629;332.784;324.888;319.621
57;94.120;95.611;98.032;101.110;104.052;106.865;109.703;112.502;115.724;119.310;123.959;129.149;134.969;139.929;142.959;151.158;163.810;171.156;177.699;183.169;188.579;193.768;198.587;202.651;206.682;211.391;217.767;224.220;230.124;234.587;237.817;240.206;241.819;242.124;240.870;238.998;238.966;241.409;246.689;252.850;258.086;260.253;260.515;260.018;261.234;264.759;270.805;276.985;280.469;282.007;284.020;288.922;297.939;310.939;327.334;332.967;338.520;331.712;323.855
58;93.179;93.217;94.716;97.133;100.201;103.135;105.939;108.770;111.560;114.773;118.343;122.974;128.160;133.962;138.923;141.964;150.141;162.727;170.049;176.608;182.088;187.426;192.631;197.461;201.575;205.780;211.121;217.291;223.707;229.184;233.428;236.615;239.001;240.624;240.948;239.720;237.874;237.860;240.309;245.581;251.730;256.961;259.133;259.411;258.932;260.158;263.684;269.720;275.890;279.374;280.921;282.939;287.837;296.834;309.799;326.147;331.774;337.321;330.552
59;92.941;92.200;92.263;93.765;96.176;99.232;102.154;104.950;107.769;110.550;113.749;117.306;121.936;127.107;132.901;137.854;140.910;149.047;161.570;168.897;175.454;180.866;186.214;191.428;196.301;200.573;205.388;210.508;216.643;222.668;227.938;232.139;235.323;237.712;239.349;239.692;238.491;236.673;236.679;239.133;244.398;250.534;255.757;257.938;258.231;257.770;259.007;262.534;268.558;274.716;278.201;279.756;281.783;286.673;295.649;308.575;324.873;330.493;336.034
60;93.028;91.868;91.164;91.244;92.750;95.153;98.195;101.104;103.889;106.696;109.467;112.652;116.218;120.834;125.998;131.774;136.725;139.778;147.878;160.361;167.677;174.162;179.582;184.936;190.185;195.195;200.066;204.632;209.724;215.503;221.339;226.563;230.754;233.939;236.336;237.985;238.348;237.174;235.388;235.413;237.873;243.128;249.252;254.466;256.654;256.964;256.523;257.772;261.297;267.310;273.455;276.940;278.505;280.537;285.421;294.373;307.259;323.502;329.115
61;92.715;91.851;90.735;90.061;90.162;91.669;94.066;97.091;99.988;102.758;105.555;108.316;111.513;115.072;119.682;124.830;130.591;135.523;138.578;146.662;159.086;166.322;172.801;178.224;183.604;188.970;194.564;199.158;203.701;208.478;214.084;219.872;225.078;229.263;232.453;234.859;236.520;236.905;235.762;234.007;234.053;236.519;241.764;247.873;253.078;255.273;255.601;255.181;256.440;259.965;265.965;272.095;275.581;277.154;279.193;284.072;292.996;305.838;322.023
62;91.532;91.437;90.614;89.539;88.899;89.022;90.532;92.919;95.929;98.812;101.573;104.360;107.135;110.326;113.885;118.480;123.613;129.341;134.254;137.333;145.384;157.680;164.897;171.361;176.799;182.274;188.200;193.493;198.065;202.331;206.961;212.522;218.286;223.480;227.661;230.854;233.268;234.944;235.351;234.238;232.519;232.585;235.058;240.292;246.383;251.578;253.782;254.127;253.730;255.001;258.524;264.508;270.625;274.109;275.693;277.739;282.609;291.504;304.298
63;89.112;90.163;90.104;89.321;88.288;87.685;87.830;89.343;91.722;94.717;97.588;100.340;103.136;105.909;109.100;112.651;117.230;122.331;128.028;132.939;136.026;143.980;156.201;163.389;169.851;175.367;181.362;187.002;192.265;196.578;200.709;205.302;210.840;216.584;221.766;225.940;229.137;231.560;233.250;233.679;232.600;230.917;231.006;233.485;238.705;244.780;249.963;252.173;252.538;252.163;253.447;256.969;262.936;269.036;272.519;274.113;276.165;281.026;289.890
64;84.940;87.669;88.737;88.709;87.971;86.983;86.416;86.586;88.104;90.476;93.456;96.313;99.074;101.864;104.637;107.819;111.361;115.910;120.980;126.659;131.552;134.593;142.499;154.635;161.804;168.319;174.326;180.033;185.639;190.654;194.840;198.938;203.517;209.035;214.759;219.927;224.095;227.295;229.727;231.432;231.885;230.840;229.195;229.308;231.793;236.999;243.054;248.223;250.441;250.827;250.477;251.772;255.291;261.242;267.322;270.803;272.408;274.468;279.318
65;79.679;83.438;86.154;87.238;87.244;86.550;85.610;85.081;85.277;86.799;89.164;92.127;94.990;97.742;100.528;103.293;106.466;109.987;114.506;119.556;125.202;130.032;133.074;140.925;152.981;160.181;167.155;172.869;178.537;183.906;188.793;192.946;197.033;201.598;207.095;212.798;217.948;222.111;225.313;227.754;229.474;229.952;228.944;227.340;227.479;229.968;235.158;241.190;246.344;248.571;248.977;248.652;249.962;253.478;259.408;265.467;268.946;270.561;272.628
66;74.127;78.118;81.840;84.542;85.641;85.682;85.033;84.144;83.656;83.878;85.405;87.763;90.726;93.574;96.319;99.095;101.855;105.009;108.510;113.010;118.028;123.600;128.405;131.445;139.247;151.264;158.903;165.537;171.209;176.668;181.918;186.766;190.903;194.980;199.530;205.006;210.684;215.817;219.970;223.174;225.624;227.359;227.863;226.894;225.333;225.498;227.993;233.164;239.172;244.310;246.543;246.971;246.675;247.998;251.509;257.416;263.453;266.930;268.554
67;68.116;72.506;76.447;80.129;82.811;83.927;84.005;83.404;82.568;82.123;82.374;83.903;86.269;89.215;92.052;94.787;97.557;100.303;103.439;106.931;111.403;116.352;121.886;126.662;129.710;137.502;149.874;157.143;163.721;169.205;174.555;179.760;184.583;188.708;192.772;197.307;202.757;208.407;213.520;217.665;220.868;223.326;225.077;225.608;224.681;223.164;223.357;225.857;231.009;236.989;242.108;244.349;244.799;244.532;245.869;249.376;255.257;261.268;264.740
68;62.367;66.448;70.771;74.654;78.292;80.953;82.085;82.202;81.653;80.873;80.469;80.750;82.303;84.660;87.592;90.415;93.142;95.897;98.632;101.763;105.240;109.651;114.566;120.056;124.811;127.903;136.074;147.995;155.194;161.590;166.973;172.277;177.448;182.247;186.356;190.408;194.925;200.346;205.967;211.056;215.189;218.394;220.860;222.626;223.185;222.301;220.832;221.054;223.558;228.687;234.636;239.734;241.983;242.458;242.220;243.571;247.072;252.926;258.908
69;56.887;60.673;64.685;68.933;72.756;76.343;78.983;80.130;80.285;79.789;79.066;78.710;79.038;80.599;82.951;85.865;88.675;91.388;94.130;96.864;99.983;103.417;107.797;112.675;118.128;122.891;126.385;134.170;145.947;152.966;159.251;164.582;169.848;174.987;179.760;183.852;187.890;192.387;197.776;203.363;208.426;212.547;215.750;218.224;220.005;220.595;219.754;218.337;218.588;221.097;226.200;232.116;237.190;239.445;239.945;239.739;241.104;244.597;250.420
70;52.139;55.195;58.910;62.846;67.016;70.775;74.310;76.924;78.085;78.280;77.838;77.175;76.884;77.247;78.817;81.159;84.055;86.845;89.543;92.280;95.005;98.089;101.505;105.850;110.694;116.131;121.226;124.429;132.116;143.648;150.543;156.759;162.047;167.272;172.375;177.119;181.192;185.214;189.687;195.041;200.592;205.627;209.732;212.933;215.414;217.210;217.829;217.036;215.670;215.952;218.463;223.539;229.419;234.467;236.728;237.254;237.081;238.461;241.945
71;48.075;50.462;53.461;57.100;60.957;65.047;68.738;72.219;74.806;75.981;76.215;75.829;75.240;75.000;75.399;76.974;79.304;82.176;84.942;87.630;90.351;93.048;96.115;99.507;103.817;108.643;114.337;119.156;122.334;129.832;141.162;147.969;154.120;159.362;164.544;169.607;174.319;178.372;182.374;186.822;192.138;197.649;202.651;206.740;209.936;212.422;214.234;214.883;214.139;212.829;213.142;215.655;220.700;226.539;231.558;233.825;234.377;234.238;235.632
72;44.627;46.405;48.751;51.689;55.250;59.027;63.032;66.655;70.077;72.637;73.825;74.099;73.779;73.253;73.063;73.495;75.071;77.384;80.224;82.971;85.640;88.328;91.007;94.050;97.419;101.706;106.753;112.180;116.937;120.013;127.368;138.524;145.245;151.327;156.519;161.653;166.674;171.350;175.379;179.358;183.777;189.052;194.517;199.486;203.553;206.743;209.234;211.061;211.742;211.047;209.794;210.141;212.655;217.666;223.460;228.446;230.718;231.297;231.194
73;41.395;42.940;44.693;46.993;49.868;53.349;57.041;60.960;64.511;67.875;70.405;71.605;71.928;71.663;71.199;71.058;71.521;73.093;75.385;78.198;80.917;83.548;86.214;88.872;91.890;95.246;99.714;104.522;109.866;114.500;117.518;124.756;135.732;142.365;148.372;153.510;158.593;163.566;168.202;172.204;176.159;180.546;185.773;191.190;196.119;200.163;203.345;205.841;207.681;208.394;207.752;206.558;206.938;209.451;214.424;220.170;225.120;227.396;228.002
74;38.307;39.675;41.200;42.924;45.176;47.985;51.381;54.985;58.814;62.289;65.590;68.088;69.307;69.668;69.461;69.059;68.968;69.459;71.027;73.299;76.078;78.754;81.359;83.999;86.635;89.641;93.162;97.404;102.136;107.347;111.893;114.878;121.995;132.785;139.320;145.247;150.325;155.353;160.273;164.865;168.837;172.763;177.114;182.290;187.654;192.539;196.557;199.729;202.225;204.079;204.824;204.235;203.104;203.517;206.030;210.960;216.653;221.563;223.841
75;35.275;36.548;37.897;39.397;41.089;43.292;46.031;49.336;52.848;56.580;59.975;63.209;65.678;66.904;67.307;67.159;66.820;66.778;67.299;68.867;71.115;73.845;76.488;79.066;81.681;84.310;87.453;90.788;94.958;99.567;104.668;109.139;112.093;119.084;129.672;136.104;141.944;146.958;151.924;156.786;161.329;165.267;169.161;173.471;178.591;183.896;188.733;192.721;195.879;198.377;200.242;201.019;200.487;199.420;199.868;202.376;207.260;212.894;217.760
76;32.479;33.484;34.736;36.063;37.537;39.194;41.341;44.004;47.215;50.626;54.256;57.566;60.731;63.159;64.397;64.840;64.752;64.478;64.485;65.041;66.605;68.817;71.507;74.117;76.668;79.271;82.014;85.001;88.280;92.332;96.834;101.835;106.230;109.151;116.006;126.378;132.698;138.444;143.387;148.286;153.085;157.574;161.473;165.330;169.597;174.654;179.892;184.677;188.631;191.773;194.269;196.145;196.955;196.480;195.480;195.963;198.466;203.298;208.868
77;29.848;30.669;31.662;32.889;34.190;35.629;37.246;39.333;41.915;45.023;48.327;51.844;55.068;58.154;60.538;61.784;62.268;62.237;62.029;62.091;62.679;64.224;66.409;69.056;71.631;74.165;76.849;79.472;82.406;85.583;89.531;93.938;98.834;103.148;106.030;112.740;122.881;129.079;134.723;139.588;144.411;149.141;153.570;157.426;161.241;165.457;170.445;175.612;180.337;184.252;187.375;189.867;191.752;192.595;192.180;191.248;191.768;194.262;199.038
78;27.389;28.031;28.844;29.818;31.016;32.284;33.686;35.256;37.274;39.765;42.759;45.946;49.353;52.478;55.480;57.813;59.065;59.586;59.612;59.474;59.590;60.194;61.729;63.883;66.486;69.031;71.618;74.194;76.767;79.607;82.701;86.556;90.865;95.651;99.874;102.716;109.267;119.158;125.224;130.756;135.537;140.278;144.930;149.292;153.098;156.868;161.026;165.938;171.026;175.684;179.555;182.655;185.139;187.032;187.907;187.554;186.696;187.251;189.735
79;24.879;25.579;26.218;27.016;27.966;29.127;30.356;31.713;33.229;35.171;37.562;40.432;43.505;46.787;49.808;52.717;54.997;56.249;56.803;56.891;56.821;56.968;57.601;59.122;61.241;63.800;66.375;68.854;71.374;73.865;76.628;79.651;83.412;87.613;92.279;96.404;99.199;105.579;115.203;121.126;126.537;131.222;135.873;140.439;144.727;148.478;152.194;156.288;161.117;166.115;170.699;174.520;177.593;180.066;181.965;182.872;182.584;181.801;182.393
80;22.363;23.089;23.776;24.406;25.184;26.105;27.224;28.407;29.713;31.170;33.028;35.311;38.068;41.014;44.167;47.075;49.886;52.103;53.348;53.940;54.085;54.053;54.250;54.905;56.411;58.495;61.059;63.521;65.938;68.375;70.798;73.491;76.440;80.099;84.185;88.720;92.741;95.482;101.679;111.016;116.783;122.061;126.643;131.194;135.666;139.872;143.560;147.214;151.237;155.972;160.874;165.375;169.139;172.178;174.636;176.538;177.476;177.253;176.548
81;19.863;20.600;21.305;21.975;22.592;23.348;24.237;25.312;26.448;27.699;29.095;30.866;33.055;35.687;38.501;41.516;44.304;47.004;49.150;50.391;51.010;51.177;51.204;51.442;52.117;53.605;55.697;58.139;60.531;62.863;65.225;67.584;70.205;73.073;76.622;80.584;84.980;88.885;91.567;97.568;106.596;112.196;117.330;121.798;126.240;130.608;134.721;138.338;141.926;145.870;150.501;155.295;159.704;163.404;166.404;168.843;170.743;171.712;171.554
82;17.412;18.139;18.848;19.530;20.182;20.786;21.518;22.374;23.405;24.493;25.691;27.023;28.721;30.801;33.301;35.975;38.844;41.499;44.080;46.153;47.376;47.985;48.194;48.270;48.546;49.239;50.746;52.740;55.100;57.395;59.646;61.937;64.228;66.771;69.550;72.982;76.809;81.054;84.836;87.452;93.242;101.942;107.361;112.338;116.684;121.005;125.259;129.272;132.810;136.322;140.177;144.695;149.370;153.678;157.305;160.259;162.674;164.569;165.566
83;15.099;15.753;16.445;17.126;17.783;18.415;19.005;19.713;20.536;21.521;22.561;23.704;24.980;26.588;28.555;30.914;33.442;36.151;38.664;41.124;43.109;44.275;44.892;45.134;45.256;45.564;46.311;47.749;49.674;51.928;54.131;56.304;58.518;60.735;63.192;65.875;69.180;72.864;76.948;80.596;83.139;88.705;97.055;102.279;107.088;111.299;115.490;119.620;123.521;126.971;130.398;134.155;138.549;143.094;147.291;150.836;153.738;156.122;158.009
84;12.977;13.540;14.159;14.816;15.466;16.096;16.704;17.275;17.956;18.743;19.679;20.668;21.756;22.959;24.472;26.319;28.532;30.903;33.444;35.812;38.135;40.000;41.124;41.741;42.010;42.171;42.552;43.275;44.668;46.500;48.653;50.767;52.857;54.989;57.125;59.489;62.070;65.238;68.769;72.681;76.186;78.649;83.976;91.955;96.973;101.601;105.665;109.715;113.709;117.489;120.843;124.176;127.825;132.082;136.487;140.562;144.016;146.858;149.205
85;11.081;11.546;12.075;12.656;13.276;13.888;14.486;15.066;15.613;16.261;17.005;17.888;18.821;19.840;20.968;22.381;24.103;26.162;28.367;30.739;32.951;35.115;36.872;37.947;38.554;38.845;39.089;39.466;40.187;41.516;43.265;45.317;47.337;49.338;51.380;53.430;55.695;58.165;61.190;64.558;68.289;71.643;74.018;79.093;86.684;91.483;95.918;99.826;103.724;107.572;111.220;114.467;117.697;121.229;125.340;129.592;133.534;136.889;139.662
86;9.384;9.784;10.217;10.709;11.250;11.826;12.399;12.958;13.503;14.019;14.628;15.324;16.148;17.015;17.965;19.013;20.323;21.914;23.814;25.855;28.049;30.094;32.105;33.746;34.765;35.360;35.719;35.973;36.368;37.071;38.341;40.005;41.953;43.876;45.782;47.729;49.686;51.845;54.200;57.073;60.271;63.813;67.006;69.287;74.101;81.288;85.856;90.088;93.831;97.565;101.257;104.766;107.897;111.015;114.419;118.372;122.462;126.261;129.506
87;7.849;8.209;8.577;8.976;9.428;9.925;10.454;10.981;11.497;12.001;12.480;13.042;13.689;14.450;15.251;16.127;17.094;18.298;19.759;21.500;23.374;25.387;27.268;29.123;30.645;31.609;32.233;32.595;32.876;33.277;33.964;35.175;36.752;38.589;40.408;42.214;44.061;45.919;47.968;50.200;52.916;55.938;59.283;62.308;64.489;69.032;75.801;80.129;84.149;87.715;91.278;94.805;98.162;101.169;104.166;107.433;111.219;115.136;118.780
88;6.473;6.787;7.113;7.447;7.810;8.219;8.669;9.147;9.625;10.093;10.553;10.991;11.510;12.104;12.801;13.536;14.338;15.223;16.321;17.652;19.235;20.942;22.776;24.494;26.194;27.600;28.538;29.147;29.524;29.818;30.225;30.895;32.044;33.528;35.250;36.960;38.663;40.404;42.160;44.093;46.197;48.750;51.589;54.731;57.583;59.656;63.920;70.261;74.339;78.138;81.519;84.903;88.255;91.452;94.327;97.193;100.315;103.922;107.655
89;5.247;5.521;5.800;6.092;6.392;6.716;7.082;7.483;7.909;8.335;8.756;9.168;9.571;10.045;10.587;11.219;11.887;12.616;13.420;14.413;15.614;17.044;18.584;20.242;21.801;23.351;24.663;25.552;26.146;26.522;26.828;27.239;27.888;28.971;30.358;31.964;33.562;35.155;36.789;38.436;40.249;42.220;44.606;47.257;50.192;52.864;54.824;58.803;64.707;68.529;72.099;75.287;78.481;81.650;84.680;87.413;90.141;93.109;96.530
90;4.212;4.411;4.649;4.895;5.153;5.417;5.703;6.026;6.378;6.753;7.129;7.501;7.874;8.240;8.670;9.158;9.728;10.329;10.985;11.707;12.599;13.676;14.954;16.332;17.819;19.224;20.640;21.852;22.686;23.249;23.623;23.942;24.351;24.973;25.985;27.274;28.761;30.245;31.727;33.247;34.783;36.472;38.308;40.523;42.983;45.706;48.194;50.037;53.727;59.189;62.749;66.083;69.073;72.071;75.050;77.903;80.488;83.070;85.875
91;3.343;3.487;3.656;3.863;4.077;4.301;4.532;4.781;5.061;5.367;5.695;6.021;6.351;6.686;7.016;7.400;7.837;8.344;8.880;9.465;10.109;10.901;11.856;12.989;14.211;15.536;16.803;18.086;19.189;19.957;20.491;20.862;21.185;21.587;22.180;23.120;24.307;25.674;27.040;28.410;29.815;31.237;32.799;34.497;36.539;38.807;41.317;43.618;45.339;48.738;53.758;57.053;60.146;62.932;65.729;68.511;71.184;73.612;76.042
92;2.620;2.722;2.844;2.989;3.166;3.349;3.542;3.739;3.954;4.195;4.457;4.738;5.023;5.315;5.611;5.905;6.246;6.631;7.078;7.550;8.066;8.634;9.333;10.170;11.164;12.241;13.419;14.553;15.702;16.691;17.394;17.897;18.259;18.582;18.972;19.530;20.395;21.480;22.727;23.976;25.230;26.519;27.827;29.261;30.819;32.689;34.765;37.061;39.174;40.769;43.878;48.459;51.487;54.339;56.916;59.508;62.090;64.576;66.842
93;2.007;2.095;2.180;2.283;2.407;2.555;2.710;2.874;3.042;3.224;3.428;3.649;3.890;4.138;4.392;4.652;4.909;5.208;5.544;5.933;6.345;6.796;7.291;7.899;8.626;9.491;10.441;11.479;12.479;13.490;14.373;15.013;15.483;15.832;16.147;16.519;17.039;17.828;18.811;19.939;21.072;22.211;23.384;24.575;25.882;27.300;28.999;30.883;32.968;34.894;36.360;39.182;43.330;46.092;48.702;51.070;53.453;55.831;58.126
94;1.497;1.573;1.645;1.717;1.803;1.906;2.030;2.158;2.294;2.434;2.586;2.757;2.944;3.150;3.363;3.582;3.805;4.029;4.286;4.576;4.910;5.264;5.654;6.082;6.604;7.230;7.982;8.809;9.712;10.581;11.466;12.246;12.823;13.256;13.587;13.889;14.242;14.720;15.432;16.315;17.325;18.342;19.368;20.426;21.503;22.681;23.962;25.491;27.187;29.063;30.803;32.142;34.682;38.407;40.906;43.274;45.431;47.605;49.780
95;1.082;1.147;1.209;1.268;1.328;1.399;1.484;1.584;1.688;1.800;1.914;2.039;2.183;2.340;2.513;2.693;2.878;3.068;3.259;3.478;3.725;4.008;4.309;4.642;5.006;5.450;5.988;6.633;7.343;8.115;8.864;9.633;10.317;10.831;11.226;11.534;11.819;12.146;12.581;13.218;14.003;14.898;15.803;16.717;17.661;18.624;19.678;20.823;22.187;23.700;25.372;26.931;28.140;30.406;33.721;35.961;38.091;40.040;42.007
96;766;809;862;911;960;1.008;1.065;1.132;1.213;1.296;1.386;1.478;1.581;1.700;1.830;1.973;2.123;2.277;2.436;2.597;2.780;2.987;3.224;3.476;3.755;4.064;4.440;4.896;5.442;6.041;6.695;7.335;7.994;8.586;9.039;9.393;9.676;9.939;10.238;10.630;11.192;11.882;12.669;13.464;14.271;15.104;15.957;16.889;17.902;19.106;20.440;21.918;23.300;24.382;26.383;29.304;31.293;33.190;34.933
97;528;558;592;633;672;710;749;794;847;909;975;1.046;1.120;1.204;1.301;1.407;1.524;1.645;1.772;1.903;2.036;2.187;2.357;2.552;2.760;2.993;3.252;3.565;3.946;4.400;4.900;5.449;5.989;6.548;7.053;7.446;7.759;8.014;8.253;8.524;8.870;9.361;9.960;10.642;11.334;12.036;12.764;13.511;14.326;15.212;16.263;17.429;18.718;19.930;20.887;22.635;25.183;26.929;28.601
98;354;374;397;423;454;485;514;544;579;619;667;718;774;834;900;977;1.062;1.155;1.253;1.355;1.460;1.568;1.691;1.830;1.989;2.159;2.353;2.567;2.825;3.134;3.505;3.918;4.371;4.820;5.287;5.713;6.049;6.321;6.547;6.761;7.000;7.304;7.726;8.239;8.823;9.416;10.021;10.650;11.294;11.999;12.765;13.671;14.676;15.789;16.839;17.676;19.186;21.380;22.897
99;231;243;258;276;296;319;342;364;386;412;443;480;518;562;609;661;721;787;861;937;1.018;1.104;1.190;1.288;1.399;1.531;1.675;1.830;2.004;2.206;2.455;2.754;3.089;3.459;3.827;4.210;4.564;4.849;5.082;5.278;5.467;5.675;5.936;6.295;6.729;7.222;7.726;8.240;8.774;9.324;9.925;10.579;11.351;12.208;13.158;14.056;14.779;16.068;17.937
100+;395;420;446;477;512;553;599;650;703;759;820;886;965;1.054;1.156;1.268;1.394;1.537;1.697;1.876;2.073;2.289;2.524;2.774;3.047;3.353;3.703;4.081;4.494;4.941;5.443;6.029;6.716;7.515;8.427;9.428;10.513;11.643;12.757;13.823;14.826;15.776;16.703;17.653;18.700;19.883;21.222;22.692;24.277;25.969;27.763;29.680;31.736;34.002;36.503;39.265;42.199;45.136;48.526
